infestation.status,infiltration.status,plant.ID,days.post.infestation,sample,UBQ7 (Ct),HYD1 (Cq),∆Ct,∆∆ct,relative.expression
uninfested,vigs,GFP 11,fourteen,I.GFP.11.2nd,26.15237146,27.3,1.147628545,-2.422644555,5.232561095
uninfested,vigs,GFP 11,fourteen,I.GFP.11.4th,21.89596462,26.91,5.014035385,1.443762285,0.37298038
infested,vigs,GFP 17,fourteen,I.GFP.17.2nd,23.78489311,28.74,4.95510689,1.38483379,0.388300563
uninfested,vigs,GFP 19,fourteen,I.GFP.19.2nd,22.42769354,27.83,5.40230646,1.83203336,0.28608789
infested,vigs,GFP 21,fourteen,I.GFP.21.2nd,26.30456174,27.22,0.91543826,-2.65483484,6.13192851
uninfested,vigs,GFP 23,fourteen,I.GFP.23.2nd,20.4071865,27.95,7.5428135,3.9725404,0.066295728
infested,vigs,GFP 25,fourteen,I.GFP.25.4th,22.81864833,27.9,5.081351675,1.511078575,0.356217775
uninfested,vigs,GFP 27,fourteen,I.GFP.27.2nd,23.67132406,29.25,5.578675945,2.008402845,0.253616081
uninfested,vigs,GFP 27,fourteen,I.GFP.27.4th,22.69101183,27.78,5.08898817,1.51871507,0.354364416
uninfested,vigs,GFP 3,fourteen,I.GFP.3.2nd,23.6563703,29.3,5.643629705,2.073356605,0.242609201
infested,vigs,GFP 5,fourteen,I.GFP.5.2nd,26.43733483,26.38,-0.057334825,-3.627607925,11.91749546
uninfested,vigs,GFP 7,fourteen,I.GFP.7.2nd,21.20528792,27.71,6.50471208,2.93443898,0.134726833
infested,vigs,GFP 9,fourteen,I.GFP.9.2nd,22.89281017,28.26,5.36718983,1.79691673,0.293033557
infested,vigs,GFP 9,fourteen,I.GFP.9.4th,22.01700977,27.29,5.27299023,1.70271713,0.31250941
infested,uninfiltrated,Unif 1,fourteen,I.Unif.1.2nd,27.49894969,29.25,1.751050315,-1.819222785,3.464974746
infested,uninfiltrated,Unif 1,fourteen,I.Unif.1.4th,27.49894969,26.56,-0.938949685,-4.509222785,21.76353486
uninfested,uninfiltrated,Unif 11,fourteen,I.Unif.11.2nd,27.49894969,27.61,0.111050315,-3.459222785,10.62260385
infested,uninfiltrated,Unif 13,fourteen,I.Unif.13.2nd,27.49894969,27.65,0.151050315,-3.419222785,10.33628268
uninfested,uninfiltrated,Unif 15,fourteen,I.Unif.15.2nd,23.07573999,29.9,6.82426001,3.25398691,0.108306708
uninfested,uninfiltrated,Unif 19,fourteen,I.Unif.19.2nd,22.97502638,28.7,5.724973625,2.154700525,0.229496126
uninfested,uninfiltrated,Unif 23,fourteen,I.Unif.23.2nd,22.97502638,28.79,5.814973625,2.244700525,0.215811951
uninfested,uninfiltrated,Unif 3,fourteen,I.Unif.3.2nd,22.97502638,28.03,5.054973625,1.484700525,0.362694555
uninfested,uninfiltrated,Unif 7,fourteen,I.Unif.7.2nd,22.97502638,27.69,4.714973625,1.144700525,0.457516963
uninfested,uninfiltrated,Unif 7,fourteen,I.Unif.7.4th,22.97502638,28.09,5.114973625,1.544700525,0.348129739
infested,uninfiltrated,Unif 9,fourteen,I.Unif.9.2nd,22.97502638,27.19,4.214973625,0.644700525,0.643783432
infested,uninfiltrated,Unif 21,fourteen,Unif.21.2nd,22.97502638,27.28,4.304973625,0.734700525,0.605396532
infested,vigs,GFP 10,twenty-one,I.GFP.10.4th,21.06367851,25.73,4.666321495,0.658183095,0.637881471
uninfested,vigs,GFP 16,twenty-one,I.GFP.16.2nd,21.24501157,27.32,6.074988435,2.066850035,0.243689906
uninfested,vigs,GFP 16,twenty-one,I.GFP.16.4th,25.22880766,30.56,5.331192345,1.323053945,0.405038168
infested,vigs,GFP 18,twenty-one,I.GFP.18.4th,26.13572188,26.17,0.034278125,-3.973860275,15.09753394
infested,vigs,GFP 2,twenty-one,I.GFP.2.2nd,21.52917143,26.94,5.410828575,1.402690175,0.383592981
infested,vigs,GFP 22,twenty-one,I.GFP.22.2nd,21.13813128,26.42,5.28186872,1.27373032,0.418917547
infested,vigs,GFP 22,twenty-one,I.GFP.22.4th,24.14895665,29.11,4.96104335,0.95290495,0.521562396
uninfested,vigs,GFP 24,twenty-one,I.GFP.24.2nd,21.91841467,28.14,6.22158533,2.21344693,0.220468905
infested,vigs,GFP 26,twenty-one,I.GFP.26.4th,27.42593337,28.01,0.584066635,-3.424071765,10.37057655
uninfested,vigs,GFP 4,twenty-one,I.GFP.4.4th,23.75610374,30.27,6.51389626,2.50575786,0.180563044
uninfested,vigs,GFP 8,twenty-one,I.GFP.8.4th,24.00853164,29.5,5.491468365,1.483329965,0.363034278
uninfested,uninfiltrated,Unif 12,twenty-one,I.Unif.12.2nd,27.49894969,28.85,1.351050315,-2.657088085,6.141373947
uninfested,uninfiltrated,Unif 12,twenty-one,I.Unif.12.4th,27.49894969,28.95,1.451050315,-2.557088085,5.735866348
infested,uninfiltrated,Unif 18,twenty-one,I.Unif.18.2nd,22.97502638,26.58,3.604973625,-0.403164775,1.317058164
infested,uninfiltrated,Unif 2,twenty-one,I.Unif.2.4th,22.97502638,27.25,4.274973625,0.266835225,0.833372715
uninfested,uninfiltrated,Unif 20,twenty-one,I.Unif.20.2nd,22.97502638,27.42,4.444973625,0.436835225,0.742003912
uninfested,uninfiltrated,Unif 24,twenty-one,I.Unif.24.2nd,22.97502638,30.16,7.184973625,3.176835225,0.114167785
uninfested,uninfiltrated,Unif 8,twenty-one,I.Unif.8.2nd,22.97502638,28.72,5.744973625,1.736835225,0.305310294